0.0101 1.4823326157128162e-09 229998311149532.75 2.2971163952656339e+33
0.0201 7.353059040786738e-09 229996182075944.9 2.2970592064193665e+33
0.0301 2.0518296563282075e-08 229993523404340.06 2.2969877920903587e+33
0.0401 4.3884030796929705e-08 229990312472501.8 2.296901543550937e+33
0.0501 8.035607251177024e-08 229986540184533.3 2.296800216477068e+33
0.0601 1.3284001426716127e-07 229982202001857.22 2.296683688958452e+33
0.0701 2.0424118696404064e-07 229977295350456.53 2.2965518918546576e+33
0.0801 2.9746461635918806e-07 229971818644463.88 2.2964047825678516e+33
0.0901 4.1541497956146415e-07 229965770850975.3 2.2962423333532964e+33
0.1001 5.609965615210175e-07 229959151272014.2 2.2960645254627078e+33
0.1101 7.371132115182946e-07 229951959425419.22 2.2958713459447962e+33
0.1201 9.466682996575432e-07 229944194975277.75 2.2956627857766425e+33
0.1301 1.1925646733683032e-06 229935857689073.0 2.295438838712636e+33
0.1401 1.4777046139176613e-06 229926947410113.06 2.2951995005438903e+33
0.1501 1.8049897929356014e-06 229917464039136.94 2.2949447686041648e+33
0.1601 2.177321228955489e-06 229907407521660.6 2.2946746414299677e+33
0.1701 2.597599243971529e-06 229896777839039.25 2.2943891185204858e+33
0.1801 3.0687234200149025e-06 229885575002009.2 2.2940882001641027e+33
0.1901 3.5935925557501845e-06 229873799045925.72 2.293771887310496e+33
0.2001 4.175104623093575e-06 229861450027190.0 2.2934401814746517e+33
0.2101 4.816156723854422e-06 229848528020524.75 2.293093084663689e+33
0.2201 5.5196450464014815e-06 229835033116867.47 2.2927305993202712e+33
0.2301 6.288464822355303e-06 229820965421720.3 2.2923527282782837e+33
0.2401 7.125510283308139e-06 229806325053842.8 2.291959474727713e+33
0.2501 8.03367461757273e-06 229791112144204.34 2.291550842186517e+33
0.2601 9.01584992696131e-06 229775326835137.47 2.2911268344778758e+33
0.2701 1.0074927183596171e-05 229758969279646.5 2.290687455711625e+33
0.2801 1.1213796186753087e-05 229742039640838.8 2.2902327102689758e+33
0.2901 1.2435345519738934e-05 229724538091452.94 2.289762602789843e+33
0.3001 1.3742462506804793e-05 229706464813464.5 2.2892771381622549e+33
0.3101 1.5138033170095824e-05 229687819997754.34 2.2887763215134459e+33
0.3201 1.662494218663922e-05 229668603843827.94 2.288260158202312e+33
0.3301 1.8206072845371508e-05 229648816559575.8 2.2877286538129825e+33
0.3401 1.9884307004206482e-05 229628458361068.62 2.2871818141493105e+33
0.3501 2.1662525047145034e-05 229607529472380.25 2.2866196452301233e+33
0.3601 2.3543605841428157e-05 229586030125434.47 2.2860421532851043e+33
0.3701 2.5530426694734397e-05 229563960559871.47 2.2854493447512056e+33
0.3801 2.7625863312422984e-05 229541321022930.78 2.284841226269506e+33
0.3901 2.9832789754823944e-05 229518111769348.38 2.2842178046824436e+33
0.4001 3.2154078394576384e-05 229494333061265.4 2.2835790870313678e+33
0.4101 3.4592599874016255e-05 229469985168147.3 2.2829250805543645e+33
0.4201 3.715122306261486e-05 229445068366711.38 2.282255792684311e+33
0.4301 3.98328150144692e-05 229419582940861.84 2.2815712310471313e+33
0.4401 4.264024092584567e-05 229393529181631.22 2.2808714034602242e+33
0.4501 4.557636409277801e-05 229366907387127.38 2.280156317931036e+33
0.4601 4.864404586872103e-05 229339717862485.12 2.2794259826557648e+33
0.4701 5.184614562226123e-05 229311960919822.1 2.2786804060181732e+33
0.4801 5.518552069488545e-05 229283636878198.25 2.2779195965885004e+33
0.4901 5.866502635880895e-05 229254746063578.34 2.277143563122456e+33
0.5001 6.228751577486399e-05 229225288808797.4 2.2763523145602892e+33
0.5101 6.605583995045022e-05 229195265453528.3 2.2755458600259227e+33
0.5201 6.99728476975481e-05 229164676344251.75 2.2747242088261412e+33
0.5301 7.404138559079648e-05 229133521834227.84 2.273887370449832e+33
0.5401 7.826429792563556e-05 229101802283469.5 2.2730353545672678e+33
0.5501 8.264442667651654e-05 229069518058717.16 2.2721681710294288e+33
0.5601 8.718461145517906e-05 229036669533414.7 2.271285829867357e+33
0.5701 9.188768946899772e-05 229003257087686.7 2.270388341291543e+33
0.5801 9.675649547939863e-05 228969281108316.47 2.269475715691337e+33
0.5901 0.00010179386176034758 228934741988725.0 2.2685479636343829e+33
0.6001 0.00010700261805691063 228899640128950.72 2.2676050958660753e+33
0.6101 0.00011238559154388864 228863975935629.8 2.2666471233090311e+33
0.6201 0.00011794560678452652 228827749821977.28 2.2656740570625803e+33
0.6301 0.0001236854856892989 228790962207768.44 2.2646859084022675e+33
0.6401 0.00012960804747477278 228753613519320.84 2.2636826887793688e+33
0.6501 0.00013571610862254897 228715704189476.62 2.262664409820417e+33
0.6601 0.00014201248283828287 228677234657585.34 2.2616310833267375e+33
0.6701 0.00014849998101078632 228638205369486.75 2.2605827212739928e+33
0.6801 0.00015518141117121112 228598616777494.38 2.259519335811732e+33
0.6901 0.0001620595784523159 228558469340378.75 2.258440939262948e+33
0.7001 0.00016913728504781714 228517763523351.22 2.2573475441236405e+33
0.7101 0.0001764173301718256 228476499798047.94 2.256239163062382e+33
0.7201 0.00018390251001836915 228434678642513.66 2.255115808919889e+33
0.7301 0.00019159561772100363 228392300541185.97 2.253977494708594e+33
0.7401 0.00019949944331251212 228349365984879.47 2.2528242336122224e+33
0.7501 0.00020761677368469448 228305875470770.12 2.251656038985371e+33
0.7601 0.00021595039254824764 228261829502379.56 2.2504729243530866e+33
0.7701 0.00022450308039273842 228217228589559.47 2.2492749034104475e+33
0.7801 0.00023327761444666927 228172073248475.94 2.248061990022144e+33
